# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-12-07 22:10:33 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01463500 Delaware River at Trenton NJ
# -----------------------------------------------------------------------------------
#
# Data provided for site 01463500
#            TS   parameter     statistic     Description
#         97504       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	97504_00060_00003	97504_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01463500	2015-01-01	9810	A
USGS	01463500	2015-01-02	8580	A
USGS	01463500	2015-01-03	7620	A
USGS	01463500	2015-01-04	9930	A
USGS	01463500	2015-01-05	10100	A
USGS	01463500	2015-01-06	11500	A
USGS	01463500	2015-01-07	11800	A
USGS	01463500	2015-01-08	10100	A
USGS	01463500	2015-01-09	8000	A:e
USGS	01463500	2015-01-10	8500	A:e
USGS	01463500	2015-01-11	8000	A:e
USGS	01463500	2015-01-12	7800	A:e
USGS	01463500	2015-01-13	7500	A:e
USGS	01463500	2015-01-14	8200	A:e
USGS	01463500	2015-01-15	8000	A:e
USGS	01463500	2015-01-16	7500	A:e
USGS	01463500	2015-01-17	6200	A:e
USGS	01463500	2015-01-18	5500	A:e
USGS	01463500	2015-01-19	6000	A:e
USGS	01463500	2015-01-20	6500	A:e
USGS	01463500	2015-01-21	6500	A:e
USGS	01463500	2015-01-22	6000	A:e
USGS	01463500	2015-01-23	5800	A:e
USGS	01463500	2015-01-24	5200	A:e
USGS	01463500	2015-01-25	4800	A:e
USGS	01463500	2015-01-26	4600	A:e
USGS	01463500	2015-01-27	4200	A:e
USGS	01463500	2015-01-28	4500	A:e
USGS	01463500	2015-01-29	4200	A:e
USGS	01463500	2015-01-30	4000	A:e
USGS	01463500	2015-01-31	4300	A:e
USGS	01463500	2015-02-01	4000	A:e
USGS	01463500	2015-02-02	3800	A:e
USGS	01463500	2015-02-03	3700	A:e
USGS	01463500	2015-02-04	3600	A:e
USGS	01463500	2015-02-05	3800	A:e
USGS	01463500	2015-02-06	3600	A:e
USGS	01463500	2015-02-07	3600	A:e
USGS	01463500	2015-02-08	3700	A:e
USGS	01463500	2015-02-09	3600	A:e
USGS	01463500	2015-02-10	3400	A:e
USGS	01463500	2015-02-11	3500	A:e
USGS	01463500	2015-02-12	3600	A:e
USGS	01463500	2015-02-13	3630	A:e
USGS	01463500	2015-02-14	3500	A:e
USGS	01463500	2015-02-15	3620	A:e
USGS	01463500	2015-02-16	3620	A:e
USGS	01463500	2015-02-17	3830	A:e
USGS	01463500	2015-02-18	4340	A:e
USGS	01463500	2015-02-19	4600	A:e
USGS	01463500	2015-02-20	4720	A:e
USGS	01463500	2015-02-21	5430	A:e
USGS	01463500	2015-02-22	5590	A:e
USGS	01463500	2015-02-23	4300	A:e
USGS	01463500	2015-02-24	3460	A:e
USGS	01463500	2015-02-25	3960	A:e
USGS	01463500	2015-02-26	4250	A:e
USGS	01463500	2015-02-27	3960	A:e
USGS	01463500	2015-02-28	3680	A:e
USGS	01463500	2015-03-01	3680	A:e
USGS	01463500	2015-03-02	3440	A:e
USGS	01463500	2015-03-03	3120	A:e
USGS	01463500	2015-03-04	3360	A:e
USGS	01463500	2015-03-05	3980	A:e
USGS	01463500	2015-03-06	4050	A:e
USGS	01463500	2015-03-07	4000	A:e
USGS	01463500	2015-03-08	4240	A:e
USGS	01463500	2015-03-09	4250	A:e
USGS	01463500	2015-03-10	4560	A:e
USGS	01463500	2015-03-11	6430	A:e
USGS	01463500	2015-03-12	11300	A:e
USGS	01463500	2015-03-13	13400	A:e
USGS	01463500	2015-03-14	16800	A
USGS	01463500	2015-03-15	23400	A
USGS	01463500	2015-03-16	19100	A
USGS	01463500	2015-03-17	18500	A
USGS	01463500	2015-03-18	20200	A
USGS	01463500	2015-03-19	18900	A
